ID,Name,Company,Price,Count,Category,discount
92-1219186,Clams - Bay,,$183.32,34,D,46
39-3129371,"Soup - Knorr, Chicken Gumbo",Zoory,$28.70,49,D,19
45-9383403,"Tray - Foam, Square 4 - S",Jaromye,$173.97,8,C,34
73-4955608,Anisette - Mcguiness,Nestle Std,$784.50,22,C,24
78-9207560,"Star Anise, Whole",Jaromye,$559.65,4,B,16
23-9681871,Papadam,,$908.77,18,A,20
85-1520781,Pastry - Apple Muffins - Mini,Waka-waka,$225.03,20,B,22
59-7014624,Lidsoupcont Rp12dn,Nestle Std,$769.42,49,D,28
78-8006845,Chocolate - Liqueur Cups With Foil,Jaromye,$358.92,22,C,25
67-1584785,Sauce - Demi Glace,,$869.25,29,B,27
29-8231111,"Napkin - Cocktail,beige 2 - Ply",Jaromye,$400.82,28,D,45
70-3301033,Beef Wellington,Nestle Std,$282.57,22,D,8
63-1117942,Horseradish - Prepared,Zoory,$209.78,23,D,16
18-4578986,Foil - Round Foil,Nestle Std,$314.01,18,D,50
18-5462414,"Juice - Grapefruit, 341 Ml",Waka-waka,$104.59,34,B,27
52-7073325,Steam Pan - Half Size Deep,Jaromye,$13.27,45,C,38
31-5071697,Duck - Fat,Waka-waka,$396.42,38,A,45
89-0590723,Mahi Mahi,Waka-waka,$300.07,6,C,39
05-8110723,Absolut Citron,Zoory,$332.85,16,D,46
91-3815943,Pastry - Cheese Baked Scones,,$162.51,42,A,24
03-3971286,Cup - Paper 10oz 92959,Nestle Std,$320.59,43,C,22
30-7370522,Pork Casing,Jaromye,$566.83,21,C,24
46-1072882,Scampi Tail,Jaromye,$649.06,37,B,26
03-5024986,"Lamb - Leg, Bone In",Jaromye,$636.88,2,A,39
81-0460881,Tea - Lemon Scented,,$325.82,35,A,13
91-8922414,"Yeast - Fresh, Fleischman",Nestle Std,$164.38,41,D,48
16-8410430,Salt - Sea,,$934.63,10,D,17
80-7373476,General Purpose Trigger,Jaromye,$124.56,30,C,22
42-6846279,Tofu - Soft,Zoory,$931.98,37,C,9
08-4881879,Sesame Seed,Zoory,$54.29,21,C,46
84-2629353,Spice - Greek 1 Step,Zoory,$467.52,24,D,3
11-9404624,"Fish - Scallops, Cold Smoked",Nestle Std,$541.54,16,B,34
60-5062582,Beer - Tetleys,Waka-waka,$357.61,10,C,8
99-8041597,Loquat,Nestle Std,$312.66,24,C,30
39-5826601,Port - 74 Brights,,$631.11,12,A,16
51-9284332,Seaweed Green Sheets,Waka-waka,$887.24,28,B,24
45-8194857,Bread Base - Italian,Zoory,$949.96,49,B,20
59-1067420,Piping - Bags Quizna,Nestle Std,$788.21,14,B,20
64-5149569,Appetizer - Escargot Puff,Jaromye,$897.63,39,D,15
69-9275836,French Pastry - Mini Chocolate,Jaromye,$733.00,16,D,39
26-3391979,Soup Knorr Chili With Beans,Zoory,$358.30,12,B,15
38-9030652,Wheat - Soft Kernal Of Wheat,Jaromye,$778.76,23,B,46
83-2653322,Wine - Soave Folonari,Zoory,$209.03,17,A,27
72-1590814,Ice Cream - Chocolate,,$370.37,41,B,45
31-7440231,Wine - Coteaux Du Tricastin Ac,Jaromye,$608.57,48,C,22
61-8853431,Apple - Granny Smith,Zoory,$625.72,44,A,50
09-9857668,Pastry - Butterscotch Baked,Nestle Std,$378.04,2,A,27
25-2592541,Cheese Cloth No 100,Jaromye,$287.60,12,C,28
43-1617650,Langers - Ruby Red Grapfruit,Nestle Std,$262.26,9,A,17
89-3577536,Sea Bass - Fillets,,$842.26,19,D,37
61-1130472,Nutmeg - Ground,Nestle Std,$105.60,12,B,10
24-7151059,Spinach - Packaged,Zoory,$427.70,49,D,3
66-7731152,"Water - Spring Water, 355 Ml",,$870.01,41,A,24
01-3894216,Ecolab - Balanced Fusion,Jaromye,$610.82,34,D,44
70-9257635,Lotus Rootlets - Canned,Nestle Std,$278.90,34,B,24
81-2595897,"Salsify, Organic",Nestle Std,$563.47,31,A,21
00-2316453,"Cup - 3.5oz, Foam",,$336.66,44,C,38
03-6058918,Wine - Dubouef Macon - Villages,Jaromye,$403.91,44,D,48
34-1000938,Beer - Sleemans Honey Brown,Waka-waka,$274.34,32,A,33
03-0266667,Wakami Seaweed,Jaromye,$844.13,5,A,21
24-4814444,Lettuce - Belgian Endive,Waka-waka,$817.29,47,D,10
33-4433574,Wine - Chenin Blanc K.w.v.,Jaromye,$116.56,26,C,26
60-8883640,Hummus - Spread,,$918.13,15,C,9
86-9038351,"Soup - Knorr, Country Bean",Nestle Std,$769.57,7,D,35
37-1596419,Dikon,Waka-waka,$929.16,31,A,11
20-4430013,Petite Baguette,Zoory,$888.19,28,B,19
11-3001620,Cheese - Parmesan Cubes,Jaromye,$110.76,39,D,16
13-0124162,Anchovy Fillets,Zoory,$626.61,35,C,11
93-6408625,Mix - Cappucino Cocktail,Waka-waka,$405.04,1,B,5
08-2245968,"Nut - Cashews, Whole, Raw",,$741.45,9,C,24
94-5155398,Ham - Cooked,Nestle Std,$738.99,50,C,28
11-3796634,Muffin Mix - Raisin Bran,Nestle Std,$196.49,41,D,38
23-4157660,Catfish - Fillets,Jaromye,$521.80,41,C,44
99-8291380,Rice - Sushi,Jaromye,$766.00,15,C,49
94-6989402,Scallops - 10/20,Nestle Std,$849.53,26,D,36
55-3728791,Lemon Tarts,Jaromye,$290.34,40,A,42
17-4137502,"Mushroom - Chantrelle, Fresh",Jaromye,$54.04,33,B,43
42-1829256,Brandy Apricot,Nestle Std,$816.77,25,B,44
91-0162076,Bread - Italian Sesame Poly,Nestle Std,$68.07,7,D,23
37-5747678,Wine - Pinot Noir Stoneleigh,,$859.25,48,C,12
87-7987703,Beer - Molson Excel,Zoory,$742.81,35,C,45
12-1675934,Bread - English Muffin,Waka-waka,$190.39,25,B,19
76-0447912,Tea - Earl Grey,Waka-waka,$152.61,21,B,39
16-1309866,"Lemonade - Kiwi, 591 Ml",Nestle Std,$662.09,23,A,14
26-3564186,"Onions - Dried, Chopped",Waka-waka,$512.87,39,D,34
25-6059181,Wine - Manischewitz Concord,Waka-waka,$692.64,11,A,38
92-5796339,Sugar - Cubes,Jaromye,$465.96,35,C,44
95-1846937,Chicken Breast Halal,Zoory,$146.63,41,C,40
68-7331643,Crackers - Trio,Zoory,$239.06,14,A,45
57-5122867,Flower - Leather Leaf Fern,Zoory,$542.04,2,A,22
90-4518908,Apricots Fresh,Nestle Std,$459.74,22,A,28
92-3749480,Blackberries,Waka-waka,$577.47,40,C,41
08-6741091,Sauce - Vodka Blush,Zoory,$555.69,6,C,39
19-5413627,Cake Slab,Waka-waka,$590.99,15,C,49
51-0762493,Wine - Touraine Azay - Le - Rideau,Jaromye,$384.33,6,B,36
30-4464618,Pepper - Jalapeno,Zoory,$629.15,33,C,50
97-9794858,Milk 2% 500 Ml,Nestle Std,$250.01,21,B,6
04-5304937,Carbonated Water - Lemon Lime,Jaromye,$674.77,40,B,38
82-0955630,Wine - Periguita Fonseca,Waka-waka,$262.33,28,B,18
94-9046417,Pomello,Nestle Std,$393.25,14,B,2
12-8436943,"Split Peas - Green, Dry",Waka-waka,$58.65,46,B,39
51-7436566,Filling - Mince Meat,Jaromye,$622.53,47,C,48
86-2439742,Raspberries - Frozen,Waka-waka,$382.05,38,D,3
47-1294796,Wine - Marlbourough Sauv Blanc,Waka-waka,$251.22,49,B,7
17-7829295,Truffle Shells - White Chocolate,Nestle Std,$102.32,27,C,3
06-2528468,Milk - Chocolate 500ml,Zoory,$949.53,40,B,30
05-4754786,"Brocolinni - Gaylan, Chinese",Waka-waka,$690.22,35,C,49
13-2342303,Celery,Nestle Std,$578.70,7,B,38
88-3331951,Numi - Assorted Teas,Jaromye,$243.30,9,A,21
69-7506734,Sprouts - Corn,Zoory,$360.10,14,C,5
71-1688078,Cookie Chocolate Chip With,,$862.73,47,A,6
82-0336589,Wine - Prosecco Valdobienne,Waka-waka,$767.83,44,B,45
66-7126003,Bouq All Italian - Primerba,Zoory,$252.46,38,C,49
35-4105096,Tuna - Fresh,Jaromye,$480.95,19,B,31
55-6723850,"Brandy - Orange, Mc Guiness",Jaromye,$460.96,39,C,26
88-6454232,"Juice - Pineapple, 341 Ml",Zoory,$719.93,19,A,23
55-9518266,Momiji Oroshi Chili Sauce,Waka-waka,$80.93,29,B,16
61-6578350,Lobster - Tail 6 Oz,Jaromye,$996.02,22,D,9
53-7878535,Soup - Campbells Pasta Fagioli,Waka-waka,$300.18,14,B,48
65-4336973,Clams - Bay,Zoory,$304.06,35,B,37
09-3172311,"Beef - Ox Tongue, Pickled",Jaromye,$65.75,14,B,14
45-8256383,Onion - Dried,Zoory,$953.97,29,B,10
03-0695562,Mushroom - Morel Frozen,Nestle Std,$239.12,8,D,22
69-1883469,Barramundi,Jaromye,$165.10,8,C,11
98-4769454,Glass - Juice Clear 5oz 55005,Zoory,$144.67,32,B,49
48-8296902,"Bread - Rolls, Rye",Zoory,$221.05,50,C,48
09-5664997,"Bread - White, Unsliced",Jaromye,$122.99,2,C,42
83-9322226,Sauce - Alfredo,Waka-waka,$806.21,33,C,9
43-2772754,Wine - Chateauneuf Du Pape,,$30.56,11,A,8
12-9738119,Spice - Peppercorn Melange,,$337.60,48,C,24
42-5210063,"Juice - Grapefruit, 341 Ml",Waka-waka,$522.96,33,D,43
50-4924082,Sauce - Rosee,,$918.33,3,A,34
01-6826287,Flower - Commercial Bronze,Zoory,$553.59,17,C,39
47-3687387,"Yogurt - Cherry, 175 Gr",Jaromye,$481.92,34,A,19
29-0030426,Nantucket Apple Juice,Zoory,$601.27,30,C,44
77-4595469,Capers - Ox Eye Daisy,Zoory,$730.27,15,B,7
75-3136155,Petite Baguette,Zoory,$309.56,15,D,2
50-0271139,Catfish - Fillets,Waka-waka,$16.78,4,D,46
80-5143780,Creamers - 10%,Waka-waka,$854.88,33,B,22
96-2570099,Cheese - Bakers Cream Cheese,Waka-waka,$179.29,3,A,4
56-9617180,Lidsoupcont Rp12dn,Zoory,$625.04,28,C,17
07-5079895,"Stock - Veal, Brown",Zoory,$21.48,4,D,11
24-8751527,Dc Hikiage Hira Huba,Jaromye,$99.43,43,B,26
73-3454675,Juice - Apple 284ml,Waka-waka,$774.10,46,D,15
22-5712430,Arizona - Green Tea,Nestle Std,$249.98,16,D,37
73-2370241,"Tart Shells - Sweet, 4",Waka-waka,$897.02,14,A,44
20-9460485,Scallops - In Shell,Zoory,$12.24,18,A,48
17-1830934,Ecolab Digiclean Mild Fm,Jaromye,$195.41,39,A,1
89-3828122,Hand Towel,Waka-waka,$219.53,4,B,21
78-8931162,Chick Peas - Canned,Waka-waka,$823.85,9,C,6
24-1940831,"Juice - Tomato, 10 Oz",Waka-waka,$938.50,35,C,35
24-7434654,Vodka - Smirnoff,Waka-waka,$243.59,37,B,3
86-4625895,Flavouring Vanilla Artificial,Jaromye,$487.98,43,D,32
40-6845642,Juice Peach Nectar,Zoory,$760.61,35,D,31
49-1190321,Tea - Lemon Green Tea,Jaromye,$37.13,35,C,8
29-3331167,Cloves - Whole,Jaromye,$536.45,40,B,0
81-8115678,"Beef - Bones, Cut - Up",Jaromye,$589.97,4,B,39
81-2993380,Oil - Shortening - All - Purpose,Waka-waka,$807.79,25,D,2
17-8221017,"Pork - Tenderloin, Frozen",Waka-waka,$622.19,35,C,1
04-1551997,Apricots - Halves,Waka-waka,$526.79,35,D,23
05-3528039,Ecolab Silver Fusion,Waka-waka,$256.66,23,A,47
23-8894345,Soup - French Onion,Zoory,$765.22,41,B,4
41-1166299,Flavouring - Rum,Waka-waka,$987.42,14,D,13
60-7534539,Flour Pastry Super Fine,,$936.63,29,A,44
84-9287040,"Onions - Dried, Chopped",,$510.01,24,D,14
89-2887421,Wine - Balbach Riverside,Zoory,$711.55,17,B,41
67-0739695,Magnotta Bel Paese Red,Waka-waka,$239.27,9,D,27
10-3103773,Bread - Italian Roll With Herbs,Jaromye,$98.46,18,D,36
12-8797849,Beer - Blue,,$206.47,1,B,47
15-4071799,Dooleys Toffee,Nestle Std,$850.34,49,C,42
50-7577143,"Octopus - Baby, Cleaned",,$218.82,36,C,48
19-3904045,"Pasta - Bauletti, Chicken White",Zoory,$841.19,50,D,22
24-1094387,Spinach - Baby,Nestle Std,$192.96,20,A,24
27-9517995,Sobe - Liz Blizz,Waka-waka,$605.70,1,C,50
89-5052499,Brandy - Bar,Waka-waka,$84.23,4,B,15
05-4080450,Beef - Tenderloin,Jaromye,$248.86,43,D,43
63-4029507,"Rum - Spiced, Captain Morgan",Nestle Std,$526.44,23,D,30
02-1474124,"Tart Shells - Sweet, 3",Jaromye,$639.89,46,C,13
61-3717697,"Schnappes - Peach, Walkers",Jaromye,$44.42,25,B,11
53-5080801,Chicken Thigh - Bone Out,,$836.44,38,A,0
97-0710160,Beer - Creemore,,$385.66,19,D,11
61-9754181,Gelatine Leaves - Envelopes,Nestle Std,$721.37,20,B,38
29-0529841,Pimento - Canned,Nestle Std,$99.87,37,C,0
28-2823178,Fudge - Cream Fudge,Zoory,$427.34,18,A,33
48-8706935,Wine - Tio Pepe Sherry Fino,Nestle Std,$460.36,22,C,16
92-1967153,Wine - Ruffino Chianti,Zoory,$393.87,17,D,47
36-3449595,"Star Anise, Whole",Waka-waka,$188.13,22,B,7
28-1315995,Wonton Wrappers,,$862.92,10,B,25
85-6626229,Pastry - Butterscotch Baked,Zoory,$285.82,42,B,30
07-7373478,Muffin - Mix - Mango Sour Cherry,Zoory,$525.93,27,B,12
49-0013244,Chocolate - White,Jaromye,$413.43,32,C,3
00-3968454,Isomalt,,$369.21,13,B,16
71-1135844,Veal - Bones,Zoory,$905.32,34,A,12
82-6555854,Sauce - Salsa,Jaromye,$895.61,38,B,43
14-8040161,Oil - Margarine,Zoory,$353.73,2,B,20
98-7511294,"Halibut - Whole, Fresh",Nestle Std,$723.65,20,D,26
19-0149528,Beer - Sleemans Cream Ale,Nestle Std,$574.38,19,C,37
95-4982097,Madeira,Zoory,$437.08,46,B,10
65-5959138,Vinegar - Tarragon,Nestle Std,$441.45,13,C,6
12-6176685,Lemonade - Pineapple Passion,Zoory,$734.97,13,A,27
17-0545343,"Liners - Banana, Paper",,$106.77,20,A,7
14-5070056,Lettuce - Spring Mix,Nestle Std,$363.61,32,B,35
22-5255986,Veal - Bones,Jaromye,$948.65,18,C,27
61-9040808,Wine - Remy Pannier Rose,Jaromye,$412.72,43,D,11
69-2462579,Broom - Angled,Nestle Std,$380.21,50,B,25
98-3849087,Blueberries - Frozen,,$599.48,11,D,41
15-7129759,Pickerel - Fillets,,$83.17,28,C,17
22-9805881,Durian Fruit,Jaromye,$570.68,4,C,20
29-2422260,Towels - Paper / Kraft,Nestle Std,$254.60,28,C,8
29-2581801,Cleaner - Lime Away,Zoory,$49.13,35,C,8
79-2954685,Anchovy Fillets,Nestle Std,$210.90,4,D,15
50-2192307,Hersey Shakes,,$308.60,27,B,47
68-8948312,Bread - Raisin Walnut Pull,Zoory,$962.15,46,D,49
13-9995683,Bag - Regular Kraft 20 Lb,Jaromye,$595.02,14,D,6
30-5064303,Oil - Margarine,Jaromye,$138.87,4,A,39
06-6302548,Spice - Peppercorn Melange,Waka-waka,$772.41,35,C,39
76-3322502,Salmon - Fillets,Jaromye,$422.33,7,A,0
79-0009370,"Asparagus - White, Fresh",Zoory,$955.21,31,A,12
59-9127456,Honey - Liquid,Zoory,$841.69,18,B,10
50-2104618,Garlic Powder,Nestle Std,$239.29,23,A,8
43-0546699,Plums - Red,Waka-waka,$935.76,48,D,48
21-8241456,Ham Black Forest,Nestle Std,$116.04,12,B,3
95-2247367,Fond - Chocolate,Zoory,$23.63,32,A,36
36-3191592,Bread Base - Italian,Jaromye,$639.71,21,C,7
04-3416464,"Wine - Red, Lurton Merlot De",Zoory,$673.72,44,D,6
21-0346125,"Pork - Tenderloin, Fresh",Zoory,$71.14,48,D,49
27-2910575,Bread - Dark Rye,Zoory,$11.88,2,A,37
45-8212441,Paper Cocktail Umberlla 80 - 180,Waka-waka,$890.24,7,A,24
17-8567776,Flour - Fast / Rapid,Waka-waka,$342.25,10,B,36
93-0081484,Island Oasis - Sweet And Sour Mix,Nestle Std,$547.43,27,D,6
23-4723289,Curry Powder,Jaromye,$586.94,6,C,30
86-2871310,Stainless Steel Cleaner Vision,Zoory,$901.44,22,D,12
39-4150181,Rootbeer,Zoory,$431.00,47,D,2
80-8529074,"Cheese - Romano, Grated",Waka-waka,$512.42,49,D,45
59-5705945,Bread - Focaccia Quarter,Zoory,$622.97,4,C,12
68-4368293,Cheese - Mix,Zoory,$18.44,47,A,24
08-5719107,Appetizer - Mango Chevre,Waka-waka,$353.21,27,B,13
90-4653258,Straw - Regular,Nestle Std,$385.49,37,C,49
44-4206952,Chocolate Bar - Coffee Crisp,Waka-waka,$170.41,40,B,5
51-4865738,"Lamb - Whole Head Off,nz",Zoory,$755.43,30,D,17
22-1147231,Crab - Imitation Flakes,Zoory,$349.07,12,D,0
91-8005229,Beef - Top Butt Aaa,Zoory,$333.69,11,D,14
20-8291605,Wakami Seaweed,Nestle Std,$499.74,41,D,38
56-9324614,"Juice - Orange, 341 Ml",Zoory,$482.68,23,A,37
37-9679925,Mushroom - Portebello,Jaromye,$644.58,9,A,21
10-2143420,Cheese - Swiss,Waka-waka,$254.82,36,D,5
12-1394071,Beer - Upper Canada Lager,Nestle Std,$737.50,31,A,16
98-3141458,Water - Evian 355 Ml,Nestle Std,$896.07,3,D,30
91-2934878,Wine - Ej Gallo Sonoma,,$19.11,14,D,17
49-1516674,Pomegranates,,$907.82,31,A,49
62-7884448,"Glass - Wine, Plastic, Clear 5 Oz",Zoory,$467.70,15,C,37
52-9092599,Pail For Lid 1537,Waka-waka,$277.90,45,C,19
88-0084041,Lid - 16 Oz And 32 Oz,Jaromye,$51.11,36,D,29
25-5499903,Corn Shoots,Zoory,$543.11,7,D,29
94-9073654,Appetizer - Southwestern,,$580.75,14,D,22
76-4266208,"Wine - Magnotta - Red, Baco",Waka-waka,$304.52,9,C,42
74-2239811,Beans - Yellow,,$886.21,42,B,4
58-3678960,Bread - Bistro Sour,Waka-waka,$168.09,30,A,19
75-8667378,"Nut - Hazelnut, Ground, Natural",Zoory,$705.61,29,D,13
19-6787133,"Veal - Brisket, Provimi, Bone - In",Waka-waka,$801.53,35,B,31
51-9504429,Bread - Raisin Walnut Oval,Nestle Std,$517.21,33,C,4
94-4006896,Chicken Breast Wing On,Jaromye,$543.78,19,A,31
88-8693404,Lentils - Green Le Puy,Waka-waka,$699.03,12,C,23
50-0399438,Strawberries - California,Nestle Std,$134.75,24,B,13
47-2059942,Stock - Fish,Nestle Std,$200.77,30,D,8
79-2794886,Coffee - Irish Cream,Waka-waka,$729.81,29,B,35
97-2293849,Wine - Rosso Toscano Igt,Waka-waka,$345.65,33,D,42
43-8304941,"Pasta - Lasagne, Fresh",,$712.37,16,B,35
46-5171464,Cheese - Mascarpone,,$522.61,23,A,8
51-4772586,"Fish - Scallops, Cold Smoked",Nestle Std,$232.50,44,D,25
18-3048365,Ginger - Pickled,Jaromye,$886.61,49,B,5
34-3925592,Fireball Whisky,Jaromye,$275.42,14,C,28
64-7174502,Bandage - Finger Cots,Jaromye,$104.92,21,C,34
58-8079202,Pastry - Mini French Pastries,Nestle Std,$350.19,13,A,39
85-4459033,Pomello,Zoory,$83.84,16,B,4
38-3018757,Pork - Backs - Boneless,Nestle Std,$650.88,43,C,22
09-5621292,Bread - Olive,Zoory,$673.10,23,A,0
03-1806337,Pastry - French Mini Assorted,Nestle Std,$294.31,43,A,43
39-6432323,Shrimp - Black Tiger 13/15,Jaromye,$820.56,11,D,49
50-9810319,"Mushroom - Oyster, Fresh",Zoory,$367.89,10,D,48
83-8991324,"Trout - Rainbow, Fresh",Zoory,$989.72,22,C,42
99-3139202,Boogies,Zoory,$64.26,29,C,44
34-6452347,Wine - Sauvignon Blanc Oyster,Nestle Std,$865.39,46,C,41
42-4859910,Cleaner - Comet,Nestle Std,$45.92,7,B,1
18-5287514,Shrimp - Tiger 21/25,Nestle Std,$109.56,24,D,0
90-5670919,Ginger - Crystalized,Nestle Std,$973.13,21,B,17
59-2903764,Syrup - Chocolate,Nestle Std,$510.03,15,C,12
59-8009497,Goat - Leg,Zoory,$464.14,12,C,29
73-0998698,"Pepper - Chipotle, Canned",Nestle Std,$457.57,30,D,33
85-0690556,Squid - Tubes / Tenticles 10/20,Waka-waka,$348.39,42,D,33
01-2958847,Pork Salted Bellies,Nestle Std,$246.65,50,B,45
01-6931594,Fondant - Icing,Jaromye,$748.42,40,A,43
54-8902165,"Lettuce - Romaine, Heart",Zoory,$658.55,19,A,50
98-7427808,Pails With Lids,Jaromye,$148.04,14,B,21
93-6378464,Pastry - Trippleberry Muffin - Mini,Jaromye,$858.85,25,A,7
68-4183313,Cheese - Pied De Vents,Nestle Std,$878.26,12,C,19
54-9212952,Lobster - Canned Premium,Jaromye,$991.46,11,B,22
39-1019224,Turkey - Oven Roast Breast,Jaromye,$910.40,8,D,6
83-4848400,Flounder - Fresh,Jaromye,$402.43,10,D,21
60-8766667,"Rosemary - Primerba, Paste",Zoory,$438.23,37,A,11
97-3478539,"Bag - Bread, White, Plain",Nestle Std,$184.24,32,A,48
52-0519084,"Schnappes - Peach, Walkers",Nestle Std,$750.09,4,B,0
99-0661715,Cheese - Augre Des Champs,Jaromye,$77.46,47,D,49
54-1023709,Wine - Jaboulet Cotes Du Rhone,Waka-waka,$882.42,7,C,15
91-4680140,Ice Cream - Turtles Stick Bar,Nestle Std,$759.39,28,A,1
95-7813808,Potatoes - Peeled,,$936.53,39,A,43
52-3363559,Chicken Breast Halal,,$190.06,25,C,34
41-9854742,Shiratamako - Rice Flour,Jaromye,$65.41,45,C,31
32-1367839,"Capon - Breast, Wing On",Zoory,$437.99,46,C,37
71-0449846,"Mushroom - Morels, Dry",Nestle Std,$35.49,8,C,15
53-1914318,"Juice - Clamato, 341 Ml",,$362.16,32,C,13
29-8963712,Wine - Zinfandel California 2002,Zoory,$700.27,40,B,30
61-2001651,Truffle Cups - White Paper,Jaromye,$976.22,18,D,47
60-6224504,V8 Splash Strawberry Banana,Waka-waka,$204.88,40,C,10
75-1491358,Sobe - Orange Carrot,Waka-waka,$301.56,50,C,11
95-2524532,Sauce - Oyster,Jaromye,$279.65,19,A,30
24-8636481,Fib N9 - Prague Powder,Jaromye,$627.18,32,D,50
