ID,Name,Category,Count,Price,Store
64-0111318,Fenngreek Seed,C,43,$54.88,Eastern
16-4073117,Wine - Guy Sage Touraine,B,60,$56.39,Southern
63-3800888,Momiji Oroshi Chili Sauce,B,39,$98.45,Western
29-3061469,Tomatoes - Yellow Hot House,B,79,$62.10,Southern
66-7070140,"Soup - Campbells, Lentil",B,50,$79.82,Western
87-6488741,Walkers Special Old Whiskey,A,17,$66.73,
44-5629197,Bagel - Sesame Seed Presliced,C,12,$5.95,Western
93-6847295,Muffin Batt - Ban Dream Zero,B,44,$37.02,Eastern
57-5076999,Orange Roughy 6/8 Oz,B,50,$17.14,Western
54-9100512,Bread - Corn Muffaleta Onion,,93,$12.96,Eastern
24-6509460,Bandage - Finger Cots,C,55,$86.91,Northern
77-4029371,Beets - Golden,C,72,$79.85,Southern
29-2769168,Veal - Striploin,A,52,$91.30,Eastern
72-6285655,"Nut - Pine Nuts, Whole",B,61,$66.43,Southern
39-7891209,"Champagne - Brights, Dry",A,68,$43.74,
61-3156975,Venison - Ground,,88,$97.29,Northern
77-9577683,"Cheese - Brie,danish",A,67,$34.26,Eastern
28-4415091,Lobster - Live,A,22,$25.54,Western
36-2550528,"Cup - 3.5oz, Foam",A,25,$10.42,Western
63-1238901,"Pasta - Lasagna Noodle, Frozen",B,32,$38.78,Western
58-8274108,"Turkey - Breast, Boneless Sk On",B,25,$64.68,Western
57-6612940,Snails - Large Canned,D,15,$58.16,
79-2576953,Basil - Seedlings Cookstown,A,91,$39.96,Northern
89-1848457,Muffin Batt - Blueberry Passion,A,20,$86.69,Western
37-5858345,Pastry - Baked Scones - Mini,A,9,$8.07,
91-2287043,Raspberries - Fresh,B,92,$80.86,Western
67-0202458,Jameson - Irish Whiskey,C,62,$69.38,Western
59-2080445,Rabbit - Whole,,28,$85.53,Northern
59-9389123,"Ice - Clear, 300 Lb For Carving",D,47,$17.54,Northern
47-3364399,"Doilies - 8, Paper",B,79,$94.77,Southern
55-5845912,"Soup - Knorr, Country Bean",D,46,$55.77,Southern
15-7245944,"Pasta - Tortellini, Fresh",A,96,$86.50,Southern
17-8521132,Beans - Yellow,B,8,$22.44,Western
74-1742382,Beer - Muskoka Cream Ale,D,40,$63.94,Northern
22-7735051,Chips - Potato Jalapeno,B,13,$46.39,Eastern
56-2127264,Oysters - Smoked,A,41,$68.01,Western
96-4880009,Cheese - Ricotta,B,46,$47.01,Eastern
03-2046776,"Brocolinni - Gaylan, Chinese",B,20,$26.53,Southern
31-5744122,"Rum - Coconut, Malibu",,34,$14.18,Eastern
77-7192008,Bread Roll Foccacia,B,20,$82.84,Southern
16-1777066,Muffin - Mix - Creme Brule 15l,A,58,$36.71,Northern
62-3697886,Samosa - Veg,D,68,$57.96,Southern
46-7399844,Beef Flat Iron Steak,A,30,$45.50,Northern
18-6755963,Rice Wine - Aji Mirin,,45,$17.25,Southern
07-3740861,Cheese - Cottage Cheese,A,18,$83.92,Western
42-4841186,Waffle Stix,D,36,$20.75,Eastern
96-7995964,Sole - Fillet,C,56,$25.34,Eastern
39-7471217,Water - Tonic,,37,$61.05,Southern
72-6276580,Melon - Watermelon Yellow,B,18,$91.02,
24-7808492,Wine - Fontanafredda Barolo,D,8,$89.38,Eastern
71-7789346,Wine - Champagne Brut Veuve,D,5,$35.07,Northern
53-6247582,"Asparagus - White, Canned",,76,$12.55,Southern
57-8447512,Venison - Liver,D,85,$73.96,Southern
07-5076760,"Wine - Red, Mosaic Zweigelt",C,90,$90.36,Southern
12-6008603,Longos - Chicken Wings,A,77,$55.16,
10-6695863,Cup - Translucent 7 Oz Clear,B,70,$42.28,Northern
99-6599934,Pork - Belly Fresh,D,27,$57.66,Southern
92-7984197,Chicken Breast Wing On,A,83,$58.80,Southern
67-0772464,"Chicken - Wings, Tip Off",B,98,$13.71,Eastern
16-1453952,Lid Tray - 16in Dome,A,10,$23.35,Western
58-3853215,Pastry - Mini French Pastries,A,95,$45.41,Eastern
57-0883029,Aspic - Amber,C,13,$28.66,
92-3850501,Beer - Corona,C,56,$74.33,Northern
82-9901237,Baking Soda,A,23,$26.19,Western
90-2220155,Avocado,C,18,$28.63,Western
67-9055181,Sugar - Monocystal / Rock,D,98,$30.64,Southern
76-5895353,Wine - Malbec Trapiche Reserve,C,80,$99.54,Northern
33-5438758,"Bag - Bread, White, Plain",A,47,$42.94,Northern
26-4971160,"Cup - 6oz, Foam",A,31,$76.79,Eastern
52-6774515,"Extract - Vanilla,artificial",C,57,$27.07,
05-5867937,Saskatoon Berries - Frozen,,30,$35.00,Western
21-9658192,Energy Drink Bawls,D,83,$17.96,Southern
53-4663884,Hand Towel,B,1,$59.95,Northern
35-2541089,Drambuie,A,76,$51.00,Western
91-1587207,Prunes - Pitted,B,34,$41.80,Northern
63-4625578,Coffee - Irish Cream,,35,$86.79,
43-5860936,"Beef - Outside, Round",B,99,$20.51,Eastern
58-8742390,Salt And Pepper Mix - White,A,24,$84.10,Western
60-0996620,Bacon Strip Precooked,B,91,$99.24,Northern
30-5673071,Calypso - Black Cherry Lemonade,C,69,$11.93,Eastern
93-6737404,Oil - Pumpkinseed,D,100,$86.66,
90-5091131,Magnotta Bel Paese Red,A,8,$55.35,Northern
49-3294891,Tea - Apple Green Tea,D,10,$65.46,Southern
26-8645498,Almonds Ground Blanched,B,27,$62.21,Northern
13-0521196,Bag - Clear 7 Lb,A,42,$83.75,
67-6358183,Longos - Assorted Sandwich,C,42,$59.56,Western
41-4707002,Rambutan,D,9,$81.39,
21-4114552,Plastic Arrow Stir Stick,D,46,$5.26,Northern
06-8063021,"Asparagus - Green, Fresh",D,31,$85.30,Eastern
69-3754368,V8 - Berry Blend,D,88,$19.62,Eastern
89-8031709,Nantucket - Pomegranate Pear,B,71,$7.68,Eastern
05-0786170,Tomatillo,C,26,$97.85,
57-2145525,Coriander - Seed,,91,$46.66,Northern
87-3826647,Carbonated Water - White Grape,A,96,$68.59,Southern
41-9085887,Piping - Bags Quizna,D,63,$77.16,Eastern
67-0066804,"Veal - Brisket, Provimi,bnls",,27,$28.50,Southern
89-0278492,"Soup - Knorr, Ministrone",,15,$82.10,
23-4614306,Wine - Sauvignon Blanc,B,14,$41.95,Western
15-4554197,Strawberries,,85,$54.68,Southern
30-4679737,Tea - Decaf Lipton,,28,$41.47,
53-0180489,Bar - Granola Trail Mix Fruit Nut,D,42,$71.96,Southern
65-2202892,Oven Mitts 17 Inch,A,33,$42.86,Western
66-8080289,Beer - Corona,A,93,$77.39,Eastern
69-7487758,"Peas - Pigeon, Dry",A,58,$38.37,Southern
21-6190198,Pork - Bones,C,41,$85.36,Eastern
81-1695469,"Nut - Walnut, Pieces",A,15,$14.58,Western
92-7625157,Island Oasis - Raspberry,,38,$66.45,Eastern
64-1548631,"Syrup - Monin, Amaretta",C,34,$17.63,
74-7380279,Pork - Backfat,A,52,$90.10,Southern
66-6246895,Lotus Root,,91,$7.36,Eastern
54-9371492,Nantucket - Kiwi Berry Cktl.,C,63,$88.92,
27-2362195,Cheese - Grie Des Champ,C,87,$50.85,Western
31-0998918,Cheese - Wine,,88,$86.21,Western
13-3470276,"Soup - Campbells, Beef Barley",A,24,$82.15,Eastern
82-1040229,Tea - Grapefruit Green Tea,B,50,$50.23,Northern
53-8462969,Cheese Cloth No 100,B,1,$22.61,Southern
04-0270413,Almonds Ground Blanched,B,79,$28.76,Southern
13-9972650,Wine - Charddonnay Errazuriz,D,20,$12.30,Eastern
26-3976989,Coconut - Whole,A,12,$8.32,Southern
29-7174870,Pear - Prickly,D,30,$96.21,Eastern
30-8982235,Chicken - Whole,C,62,$79.91,Northern
59-6162402,"Sauce - White, Mix",D,23,$19.54,Eastern
60-6019468,Sobe - Green Tea,B,81,$40.72,Southern
77-4623789,Potatoes - Parissienne,,73,$43.15,
48-4286969,"Doilies - 7, Paper",A,9,$37.74,Eastern
56-8610629,Foam Dinner Plate,A,84,$58.85,
90-4325754,"Beans - Long, Chinese",A,73,$42.83,Southern
29-3779354,Cinnamon - Ground,B,68,$35.21,
99-1270653,Bread Base - Italian,C,21,$40.77,Western
88-7435361,Cheese - Brie,D,16,$73.64,Western
59-0751970,Lotus Root,D,100,$85.76,Northern
48-8228379,Glucose,C,24,$42.72,
72-4533459,Egg - Salad Premix,A,70,$42.11,Eastern
80-4468323,Longos - Lasagna Veg,D,66,$59.87,Eastern
02-7000723,Wine - Two Oceans Cabernet,A,97,$62.65,Eastern
29-8809176,"Fish - Base, Bouillion",A,58,$52.86,Southern
44-2897149,Spring Roll Wrappers,,56,$8.93,Eastern
51-6171498,Passion Fruit,,34,$5.83,Eastern
61-9240120,"Apple - Delicious, Golden",,97,$99.56,Southern
83-4909738,Pork - Liver,B,26,$8.22,Northern
19-8286492,"Pineapple - Canned, Rings",A,83,$85.68,Eastern
05-7939510,Veal - Osso Bucco,C,96,$99.72,
02-5946947,Sauce - Salsa,C,17,$99.93,Southern
24-8303332,"Tart Shells - Barquettes, Savory",D,74,$86.96,Northern
60-6451658,Anchovy Paste - 56 G Tube,D,76,$75.54,Southern
44-9570649,"Soup - French Onion, Dry",A,64,$36.61,
21-9231186,Calypso - Lemonade,B,52,$40.88,Southern
66-2673528,Cookies - Englishbay Wht,B,26,$58.32,Western
28-3488266,Lid Coffee Cup 8oz Blk,A,4,$27.22,Western
05-9480134,Huck Towels White,C,35,$54.44,Western
74-0232132,"Red Snapper - Fillet, Skin On",C,51,$97.81,Southern
26-3982140,Muffin - Zero Transfat,A,47,$31.58,
55-2069923,Sage - Ground,,72,$5.58,Western
26-0990439,Dc Hikiage Hira Huba,D,40,$64.82,Northern
34-2233197,"Pork - Tenderloin, Frozen",C,18,$24.05,Eastern
83-2875256,Grapes - Green,B,38,$74.26,Western
56-2460132,Beef - Diced,A,64,$90.27,Northern
48-6239493,Tart - Pecan Butter Squares,B,50,$20.96,Southern
56-7958063,Cake - Sheet Strawberry,D,1,$25.84,Western
40-0090126,Sauce - Cranberry,A,24,$95.01,Northern
20-5463272,"Garlic - Primerba, Paste",C,71,$5.85,Western
55-2968659,"Cherries - Bing, Canned",A,23,$6.12,Eastern
76-8911822,"Veal - Brisket, Provimi,bnls",C,15,$69.47,Western
73-4051754,Bagel - Whole White Sesame,C,93,$20.62,Northern
42-7400629,Flower - Potmums,B,56,$62.12,Eastern
32-1055201,Dry Ice,A,84,$73.65,Northern
30-0202655,Greens Mustard,,65,$6.76,
26-8606961,"Oil - Truffle, Black",,19,$26.26,Southern
25-2233820,Pepper - Orange,D,36,$56.74,Northern
92-2434458,"Syrup - Golden, Lyles",,11,$10.29,
14-1122030,Emulsifier,D,47,$96.86,Western
66-5814395,Lettuce - Lolla Rosa,D,29,$8.76,Northern
34-3256134,Bar Mix - Lime,C,85,$74.78,Northern
17-5474136,Peach - Fresh,,14,$15.36,Southern
14-8782593,"Pork - Loin, Bone - In",A,38,$29.52,Eastern
94-3786053,Sage Ground Wiberg,C,97,$70.62,Western
58-3836257,Flower - Commercial Spider,,24,$7.44,Eastern
99-6967097,"Veal - Round, Eye Of",,23,$29.11,Eastern
84-1929611,"Red Snapper - Fresh, Whole",B,93,$45.11,Southern
15-0094726,Crab - Meat,,11,$5.00,Western
81-3444611,Wine - Chateau Aqueria Tavel,C,85,$94.71,Southern
26-9816210,Flavouring - Orange,,81,$90.58,Southern
93-3704888,Sprouts Dikon,,70,$69.01,Northern
53-3480444,Petite Baguette,C,58,$30.61,Southern
15-9479059,Shopper Bag - S - 4,D,38,$8.94,Northern
58-8124612,Cocktail Napkin Blue,C,23,$6.11,
07-7890927,Juice - Ocean Spray Cranberry,C,92,$10.13,Southern
76-2940153,Bread - Multigrain,A,91,$24.26,Southern
59-8065098,Bread - Hot Dog Buns,B,47,$80.18,Northern
74-5694722,Wine - Montecillo Rioja Crianza,C,97,$74.45,
31-4783512,Bar Bran Honey Nut,,19,$20.89,Western
66-7992037,"Tomatoes - Vine Ripe, Yellow",D,20,$98.66,Northern
62-8361177,Beets - Pickled,B,29,$79.93,Southern
93-8692915,"Tuna - Canned, Flaked, Light",A,18,$56.49,Eastern
98-1663782,"Bread - Bagels, Plain",D,88,$97.80,Western
11-4673542,Lamb Shoulder Boneless Nz,A,9,$40.81,Southern
65-9417184,Quail Eggs - Canned,,48,$13.62,
38-7353898,Chef Hat 20cm,D,14,$17.22,Northern
00-4401964,Shrimp - 150 - 250,B,13,$18.00,
26-3872216,"Beef - Chuck, Boneless",B,96,$52.07,
17-0073743,Foil - 4oz Custard Cup,D,59,$14.89,Northern
99-7698132,Mushroom - Porcini Frozen,B,89,$9.28,Eastern
11-6612989,Jameson - Irish Whiskey,A,43,$74.23,Northern
77-4105250,Wine - Zinfandel California 2002,,28,$46.73,Eastern
05-6443154,"Melon - Watermelon, Seedless",D,17,$22.11,Eastern
17-1516370,Petite Baguette,B,37,$16.67,Western
89-5947986,"Pasta - Spaghetti, Dry",D,32,$92.18,
98-8332105,Creme De Menth - White,,81,$90.52,Southern
06-5779511,Tequila Rose Cream Liquor,,79,$26.36,Southern
40-9968518,"Lobster - Baby, Boiled",D,79,$34.92,Eastern
26-6926134,Beer - Upper Canada Light,C,64,$57.77,Southern
81-2681746,Mushroom Morel Fresh,D,89,$21.90,Eastern
62-3682888,Bread Base - Toscano,A,40,$67.26,Eastern
41-1402136,"Veal - Leg, Provimi - 50 Lb Max",D,70,$37.56,
52-9970682,"Pesto - Primerba, Paste",B,100,$36.81,Southern
79-8257669,Pepperoni Slices,D,57,$88.59,Southern
34-5456133,Cucumber - Pickling Ontario,,15,$15.05,Northern
61-0814381,Beef - Striploin,,87,$15.54,Northern
60-8083387,Sage Derby,C,4,$32.54,
42-4331235,Tofu - Firm,,14,$10.45,
38-5948946,Wine - Segura Viudas Aria Brut,C,15,$36.57,Western
53-9230064,Sausage - Chorizo,A,26,$57.22,
91-9827950,Nantucket - Kiwi Berry Cktl.,C,41,$8.82,Northern
09-3345613,"Pasta - Spaghetti, Dry",A,87,$79.68,Western
11-6133613,"Split Peas - Yellow, Dry",D,21,$49.69,Eastern
80-4244287,Lidsoupcont Rp12dn,,29,$17.64,Northern
63-4420592,White Fish - Filets,B,7,$51.60,Western
23-0021658,Pear - Halves,B,35,$78.50,Northern
12-4518704,Straws - Cocktale,B,12,$87.97,
29-0267486,Cheese - Camembert,,39,$81.82,Southern
57-3118136,Grouper - Fresh,D,85,$43.72,Western
48-0825694,Carbonated Water - White Grape,B,50,$64.36,Southern
43-5622202,"Beans - Navy, Dry",B,74,$34.87,Northern
42-3977607,Bread - Crusty Italian Poly,B,31,$10.54,Northern
52-5644184,Langers - Mango Nectar,A,32,$51.89,Northern
52-2517526,Soup - Campbells Bean Medley,A,60,$49.09,
99-5441382,Bread Crumbs - Panko,B,12,$78.31,
10-9749746,Cake - French Pear Tart,B,93,$53.11,Southern
60-7644031,Daikon Radish,D,67,$60.11,Southern
47-6808486,"Flour - Buckwheat, Dark",,72,$93.59,Southern
56-0615844,Parsley Italian - Fresh,B,15,$55.63,Eastern
21-2557819,Kellogs Raisan Bran Bars,,88,$98.68,
23-2542432,Chevere Logs,D,24,$25.41,Eastern
14-3961000,Nestea - Iced Tea,B,77,$8.29,Eastern
75-5217842,Cheese - Swiss,A,15,$19.15,Eastern
48-4246047,"Coconut - Creamed, Pure",B,12,$56.22,Western
75-4708212,Bagel - Sesame Seed Presliced,B,75,$76.51,Southern
20-5390489,Ham Black Forest,A,36,$63.51,
54-7734078,Soup - Campbells - Tomato,,11,$30.06,Eastern
31-2181734,Basil - Seedlings Cookstown,B,54,$88.85,Eastern
98-4483147,"Rum - White, Gg White",,73,$79.43,Northern
21-8081930,Capicola - Hot,A,26,$37.70,Eastern
03-4327850,Pork - Suckling Pig,A,34,$60.08,Western
85-9397052,Sauce - Soy Low Sodium - 3.87l,B,17,$70.11,
44-3563505,"Wine - Red, Cabernet Merlot",A,87,$18.08,Western
96-2424903,Trout - Smoked,A,36,$33.32,Western
71-9129476,Cheese - St. Andre,D,98,$95.64,Northern
42-5954409,Tamarind Paste,C,27,$15.66,Southern
70-0346449,V8 Splash Strawberry Kiwi,B,94,$85.95,Western
25-2274551,"Lamb - Shoulder, Boneless",A,13,$52.47,Northern
37-7758542,Soup - Cream Of Broccoli,D,6,$98.01,
08-9981778,Chick Peas - Dried,A,68,$60.54,Northern
64-5537494,Pepper - Red Chili,,48,$53.68,Southern
89-6331408,Schnappes Peppermint - Walker,C,91,$65.40,Southern
