Target_ID,Param1,Param2,Param3,Category,HasWeapon
21-6337361,628,7.23,87.58,Plane,true
42-9412497,778,41.14,98.36,Track,false
67-9535460,112,64.96,39.68,Plane,true
41-5879644,45,49.3,93.54,Plane,true
31-7688033,211,95.77,0.03,Track,false
56-9944675,815,8.56,68.06,Track,true
54-6795663,246,67.14,20.77,Track,false
10-0239359,163,99.09,9.09,Ship,false
22-0660547,545,70.27,47.9,Ship,false
20-5458184,67,42.99,69.61,Track,false
33-0666632,675,25.44,4.92,Track,false
82-7635508,783,51.37,1.01,Track,false
26-4740450,793,46.15,73.35,Ship,true
20-0139869,146,23.73,38.33,Ship,true
73-9693299,560,82.83,36.71,Plane,false
25-1440914,822,3.59,71.48,Ship,false
17-2609629,141,65.36,56.03,Track,true
64-4880524,683,2.98,14.26,Track,false
72-6525520,546,82.64,59.31,Plane,false
94-7998157,452,64.91,75.06,Plane,false
13-2802158,887,6.33,98.52,Ship,true
29-0687979,854,78.54,55.64,Plane,true
78-2099872,802,18.86,92.16,Plane,true
84-6848946,552,23.23,33.51,Plane,false
96-4320634,56,94.56,12.81,Track,false
11-7864095,29,11.61,63.08,Track,false
77-8210942,411,72.38,89.16,Track,false
25-6273451,648,21.45,32.94,Track,false
75-3165047,178,86.47,74.66,Ship,false
02-1719960,254,53.97,36.78,Track,true
14-8358862,220,22.63,20.26,Ship,false
31-4664636,880,61.07,41.89,Plane,false
34-0811362,205,50.94,82.03,Ship,false
11-5139952,179,33.87,9.21,Track,true
94-2005043,926,53.59,48.19,Plane,true
30-6361741,879,41.83,11.55,Ship,false
47-9476553,467,20.25,73.39,Ship,false
68-2052765,667,43.49,70.73,Track,true
86-7236330,996,8.99,47.28,Ship,true
31-5425184,499,52.79,98.43,Ship,true
99-7016964,841,49.18,62.44,Plane,true
31-1961077,870,67.33,14.73,Track,false
57-9752303,540,73.07,10.68,Plane,false
46-0115984,45,55.74,74.12,Ship,true
59-6197611,326,39.89,26.57,Ship,true
69-9273209,687,48.29,15.03,Track,false
14-5714736,289,45.43,91.18,Plane,true
20-3512852,606,85.88,82.37,Ship,false
44-7949220,345,46.91,79.53,Ship,false
93-2644171,240,88.57,32.76,Track,true
27-0833044,206,54.09,37.86,Track,true
83-7575855,985,90.21,84.16,Track,false
30-7578235,552,80.05,62.74,Track,true
69-2447392,504,23.5,13.1,Plane,true
47-2307731,906,88.4,85.92,Track,false
40-7005395,737,33.8,78.0,Track,false
78-1296868,229,91.78,50.76,Ship,true
11-0732303,791,26.88,71.86,Ship,false
23-7902682,944,61.94,16.21,Plane,true
49-9573731,653,47.84,29.82,Plane,true
06-0067495,326,67.47,82.2,Track,true
64-1324734,148,80.81,60.54,Ship,true
15-6263574,191,93.89,34.91,Track,false
77-5126847,850,67.56,19.91,Ship,false
00-7444593,630,89.64,22.21,Ship,false
43-4083446,415,77.46,54.64,Ship,false
93-7403466,620,70.64,1.73,Track,false
49-2546386,880,59.97,19.21,Track,false
08-5236904,898,73.12,3.29,Plane,false
28-5489069,127,40.09,35.75,Ship,false
33-5058199,974,60.76,2.61,Plane,false
29-7280659,335,77.6,25.95,Ship,false
84-7549325,691,79.43,54.87,Plane,true
34-0549656,570,83.25,92.09,Track,true
19-8559043,589,78.39,27.48,Plane,false
16-4601193,165,91.0,78.19,Plane,false
51-4528683,591,80.33,9.87,Plane,true
51-2523270,557,48.66,13.6,Ship,true
33-8327021,27,9.79,10.72,Ship,false
65-7209563,858,57.31,77.05,Plane,true
92-8305090,393,36.62,98.94,Plane,false
26-1391728,604,76.96,80.68,Track,true
69-2904140,979,65.03,35.04,Track,false
30-8788970,380,75.47,36.46,Track,true
13-7094735,797,40.59,17.77,Ship,true
83-2384987,286,1.21,86.16,Plane,false
50-7724418,874,22.95,87.88,Track,false
63-1893010,641,27.87,65.08,Track,true
93-3541543,592,92.78,40.31,Track,false
52-2873338,562,6.94,48.17,Plane,false
49-8061413,981,41.27,36.64,Track,true
79-1136194,182,23.03,7.62,Plane,true
61-1659534,437,86.78,97.51,Plane,false
83-4481228,373,54.53,87.69,Track,false
93-9936538,268,49.38,91.09,Track,true
96-7320393,843,75.75,79.4,Track,true
35-7436785,987,2.37,14.03,Ship,true
45-7878567,911,68.8,2.52,Track,true
75-4742983,561,33.97,78.38,Ship,true
89-0086086,969,66.97,38.8,Plane,true
24-8537462,442,43.98,86.89,Ship,true
49-9855394,345,71.74,34.08,Ship,false
81-4845621,331,14.3,65.42,Plane,false
26-5787678,200,86.76,95.6,Plane,true
61-0109759,828,50.29,58.66,Ship,false
27-1751786,832,34.88,32.5,Track,false
96-1735827,563,9.51,6.23,Track,true
16-3754223,576,98.11,24.69,Ship,true
81-3879489,97,42.05,76.28,Ship,false
40-7165842,121,29.79,54.57,Track,true
92-0705647,104,87.28,33.88,Ship,false
22-7131599,558,6.92,8.47,Plane,true
21-6634207,974,90.12,20.98,Plane,true
86-5972468,942,3.16,34.21,Track,true
93-8702525,319,8.42,27.96,Track,false
69-1912292,15,65.73,66.59,Track,false
87-2580655,570,73.23,48.97,Track,true
15-1321744,701,36.01,5.63,Track,true
05-8185187,891,44.78,84.0,Plane,true
98-5866810,810,9.53,55.97,Track,true
19-3225467,990,41.96,34.41,Track,true
64-6312781,767,98.27,8.67,Ship,false
67-0187681,841,39.78,65.41,Track,false
42-1113158,994,28.6,48.94,Track,false
67-1447535,89,30.19,22.19,Ship,true
32-5342750,412,40.66,94.03,Track,true
23-6982799,626,20.46,11.55,Plane,true
24-4577037,573,5.97,65.33,Plane,true
38-4848536,752,11.54,18.9,Track,true
01-9112467,287,86.72,73.76,Ship,false
43-0975207,581,39.51,18.56,Ship,false
99-0661680,33,63.86,1.51,Plane,true
36-1464981,531,49.43,76.6,Ship,true
00-7104518,496,65.78,86.88,Ship,false
11-9928266,326,20.39,22.79,Ship,true
90-7602383,380,25.6,7.28,Track,true
69-3059762,901,72.45,34.66,Plane,false
75-8775437,443,9.72,41.24,Ship,true
43-1859995,276,34.25,61.08,Ship,true
80-5334652,961,2.3,28.09,Ship,true
37-4352502,227,80.43,39.76,Plane,false
28-3413722,415,13.79,96.21,Plane,false
56-5034273,247,24.95,93.49,Track,false
26-5731926,435,91.84,64.96,Track,false
86-7322660,769,35.21,25.53,Ship,false
68-4884400,872,5.91,4.39,Ship,false
63-4062617,542,35.79,70.33,Track,false
47-1577937,226,18.96,23.76,Plane,true
33-3840535,826,44.84,18.06,Ship,false
44-6698492,431,11.89,19.57,Ship,true
05-0014821,604,62.42,16.88,Ship,true
56-5275406,337,71.34,98.35,Plane,true
74-1677681,838,47.52,39.76,Ship,false
04-5855675,821,15.88,58.94,Ship,true
90-0888102,749,20.91,98.49,Ship,true
10-9157398,944,84.94,26.96,Ship,true
92-5379420,316,25.56,93.48,Ship,false
89-5271851,199,11.84,16.03,Track,true
42-8095235,428,17.29,62.87,Ship,false
77-1971402,427,84.91,69.34,Track,true
09-7430061,789,7.05,48.34,Track,false
08-5156952,147,28.38,2.43,Plane,false
09-7577758,999,10.93,10.23,Track,false
65-5652274,761,87.96,48.32,Ship,false
06-2574954,826,64.36,46.82,Ship,true
32-7097989,150,87.04,94.25,Ship,true
15-6536236,140,8.28,34.6,Track,false
96-1117224,192,63.63,17.23,Ship,true
74-7484485,766,49.29,65.58,Ship,false
31-6726254,227,98.66,72.14,Plane,false
10-8439119,429,75.84,84.5,Ship,true
68-7387079,495,37.2,37.74,Plane,true
77-7310810,189,45.5,64.21,Track,false
16-0102260,632,90.73,24.66,Track,true
61-0063376,782,10.03,4.89,Track,false
73-3973497,50,92.21,99.7,Track,true
96-1141756,284,22.75,97.96,Track,true
08-4147106,901,48.02,15.97,Plane,false
25-1522529,505,65.61,83.39,Track,true
36-3511148,423,82.19,70.73,Track,false
12-4737144,802,48.11,44.9,Track,false
31-2244663,620,71.18,57.98,Track,false
16-3472213,350,92.62,4.68,Ship,true
58-5301400,269,41.74,39.58,Track,false
70-2470942,419,14.79,54.31,Ship,true
63-0958401,157,66.44,2.77,Plane,false
98-5540454,828,23.72,39.67,Track,true
45-8608199,591,36.65,67.23,Plane,true
05-6628585,200,88.28,81.76,Ship,false
34-9027677,582,73.28,27.7,Ship,false
21-9991863,637,86.0,97.89,Plane,true
05-7985530,740,37.71,40.89,Plane,false
53-2040200,534,22.58,41.16,Track,false
93-9212126,690,60.09,27.77,Plane,true
94-3866381,544,58.21,20.86,Ship,false
69-3136695,741,10.7,16.49,Plane,false
73-2395449,183,71.59,58.13,Plane,true
14-1972137,663,42.95,38.39,Plane,true
72-5171606,236,0.95,30.2,Track,true
13-7785078,960,78.33,34.41,Plane,false
17-3371921,691,55.75,91.17,Track,true
78-1006512,429,42.81,36.06,Ship,false
31-3992217,638,67.7,98.39,Plane,true
12-4875917,183,50.45,33.53,Ship,false
01-1367427,513,68.07,81.84,Plane,true
86-8757576,611,33.52,2.96,Ship,false
39-0110649,486,70.65,71.67,Track,false
95-7110912,16,88.48,88.65,Track,false
28-3673702,453,58.0,63.75,Track,false
59-8251827,471,24.71,70.95,Plane,false
12-8765790,849,70.97,97.51,Track,false
24-4689786,189,35.74,66.44,Track,true
92-6627333,892,42.35,52.36,Track,false
68-4144420,592,22.03,83.32,Track,false
41-8128513,44,99.48,85.05,Plane,true
76-8837705,545,96.31,78.16,Track,false
66-0650067,607,65.82,87.32,Plane,true
37-8138970,889,33.65,95.1,Track,true
58-6428645,59,51.27,20.45,Track,false
52-7771292,349,22.87,71.95,Track,false
83-8220216,143,56.4,32.64,Ship,false
14-0841667,775,57.84,30.81,Track,false
56-0990868,720,66.69,85.03,Track,false
41-2559568,537,54.34,47.64,Plane,false
37-9070532,436,31.96,51.43,Ship,false
16-5311056,386,34.0,63.19,Ship,false
82-8866610,282,4.76,0.45,Track,true
02-1046369,174,77.23,39.25,Track,true
17-6867412,466,3.42,92.24,Ship,true
54-4296859,332,84.24,75.99,Ship,false
03-1506078,848,71.14,85.9,Plane,true
54-2080880,951,75.63,96.69,Track,true
84-9888785,22,17.83,22.32,Ship,false
33-8085520,76,62.52,58.62,Ship,true
23-3744752,49,85.8,26.93,Plane,true
88-0043305,801,65.63,6.48,Track,true
56-6905888,345,19.4,90.72,Plane,true
60-0804708,359,18.67,37.67,Track,true
88-4424934,941,93.26,19.27,Ship,false
97-5949311,896,18.62,54.48,Track,false
87-9498318,702,47.73,43.9,Ship,false
02-3343746,741,23.05,15.37,Ship,true
08-8830988,267,99.77,13.64,Plane,true
06-7560335,822,73.4,48.81,Plane,true
51-7405080,380,60.76,37.0,Plane,true
34-2758505,459,42.68,67.76,Ship,false
76-1075884,516,95.11,67.63,Plane,false
55-3094758,925,79.92,31.97,Track,false
91-0498525,56,58.81,52.36,Plane,false
18-9431599,467,95.98,19.58,Track,false
89-5031532,52,26.9,72.71,Plane,true
03-0713101,833,36.47,8.38,Ship,true
21-4772864,115,51.9,89.24,Track,false
31-9063121,161,69.28,74.88,Ship,false
06-7651846,680,1.81,37.72,Plane,false
60-7091913,336,55.89,65.47,Plane,false
07-5958308,579,45.69,64.34,Ship,false
79-0864545,491,60.74,9.03,Ship,false
49-9810123,612,96.02,93.09,Plane,true
32-9006781,686,70.45,9.55,Track,true
88-7931073,155,39.42,24.21,Track,false
98-6463744,840,96.11,3.08,Plane,false
51-8041833,723,61.33,3.4,Track,false
45-9635662,493,25.53,95.7,Track,false
58-0785604,471,52.69,20.17,Ship,true
22-9545948,790,77.17,13.53,Track,true
09-5803210,297,86.21,48.53,Plane,true
44-6642581,216,43.03,44.9,Plane,false
79-7766785,742,18.78,37.71,Plane,false
66-8816487,327,21.32,79.27,Plane,false
36-4082116,439,5.44,65.07,Track,false
53-1109408,363,87.48,35.22,Plane,true
08-3281891,580,15.33,94.83,Track,true
07-6213087,466,86.5,48.28,Plane,false
34-5702891,344,90.42,81.07,Ship,true
87-4082984,956,38.33,22.59,Ship,true
55-7518240,607,82.56,52.86,Track,true
14-8379362,873,4.91,4.31,Ship,false
51-1058045,799,6.22,16.91,Plane,true
42-2265809,663,52.19,90.83,Ship,false
82-2653405,80,95.23,25.82,Ship,true
04-4325404,507,37.86,36.4,Ship,false
61-1561410,842,15.93,78.99,Track,false
13-9687398,366,90.66,98.34,Ship,true
90-9489201,706,17.77,33.65,Track,true
70-1844790,78,53.66,74.62,Ship,true
21-1040911,836,53.6,95.67,Ship,true
24-2754592,916,21.46,14.18,Ship,false
82-7053022,766,20.92,65.81,Ship,false
04-7139076,22,4.11,69.43,Plane,false
98-4594749,885,20.16,3.14,Plane,true
89-0405242,628,94.99,82.45,Ship,false
43-4776787,156,67.9,38.75,Track,true
25-7645975,197,37.72,42.71,Track,false
02-8758061,871,77.52,71.32,Track,true
07-4787959,570,45.25,88.98,Ship,true
64-2235998,847,80.89,56.38,Plane,true
32-5565460,21,96.89,83.17,Ship,false
93-5883963,230,28.43,33.97,Ship,false
44-3658832,208,49.03,7.36,Ship,false
16-2102827,143,92.23,70.65,Plane,false
50-9429413,735,39.98,33.16,Track,true
40-5464115,54,52.15,63.85,Track,true
73-0499549,162,45.37,0.54,Plane,false
25-7914212,744,10.79,82.54,Plane,true
35-5712257,351,9.07,83.08,Plane,false
75-0563894,332,74.95,89.04,Ship,true
88-5555710,510,19.95,49.89,Plane,false
04-1925503,27,67.58,8.25,Plane,false
83-6226320,498,14.34,13.64,Ship,true
35-0888934,392,39.03,97.54,Plane,false
69-1509833,351,51.47,40.18,Plane,false
27-0443806,417,84.92,66.52,Plane,false
46-8690326,221,66.98,6.45,Ship,false
79-6161459,355,97.17,67.19,Ship,true
95-8506723,925,90.91,24.32,Track,true
73-1761703,134,29.22,6.81,Plane,true
38-5549380,637,57.19,85.55,Plane,false
52-2398064,18,80.62,83.75,Track,false
05-9513394,491,58.7,20.65,Track,false
01-5059971,681,64.06,40.41,Plane,false
72-0262372,887,41.37,21.24,Plane,false
06-4914502,236,50.19,65.66,Track,false
05-7549240,495,42.28,99.89,Plane,false
22-9175141,825,55.35,20.37,Ship,false
80-2180697,985,84.43,33.2,Track,false
05-8038466,219,50.98,59.71,Plane,true
05-1444796,408,84.7,33.43,Track,true
49-1911648,324,13.4,14.05,Track,true
31-1736026,920,13.86,88.76,Plane,true
35-5297330,756,73.63,3.13,Track,false
60-1415088,401,5.23,67.32,Track,true
65-5393006,630,58.46,2.3,Track,false
82-2477425,478,82.93,10.35,Ship,true
33-0174481,108,37.42,15.49,Ship,false
36-0626601,265,13.74,39.35,Ship,true
49-1077653,987,29.53,72.7,Ship,true
46-9134539,453,69.63,93.02,Track,false
77-4356171,501,33.68,21.25,Track,false
98-6212355,536,98.28,41.63,Ship,true
08-7530232,672,68.19,29.75,Track,false
74-4446539,488,49.09,32.7,Ship,false
73-2521500,272,33.29,58.03,Track,false
11-2629132,910,38.15,53.97,Plane,false
53-1924791,799,77.51,80.96,Track,false
78-2289185,162,12.19,61.13,Ship,true
88-8683103,479,36.52,3.63,Plane,true
55-2134309,351,17.87,50.41,Ship,true
68-0843269,147,74.69,20.99,Ship,false
41-4496120,341,69.86,37.91,Plane,true
39-9975065,337,70.18,15.06,Track,true
78-9615415,45,7.57,92.1,Ship,false
14-6559080,351,1.12,3.76,Track,false
72-7481176,62,30.84,46.35,Ship,true
65-1221479,20,35.79,60.33,Plane,true
69-2009447,599,25.49,30.18,Ship,false
59-0704639,188,58.96,63.17,Ship,true
92-7052023,293,62.27,61.07,Track,true
91-7174433,739,20.44,71.06,Track,false
84-3962043,585,39.41,17.11,Ship,false
78-2882987,54,70.06,84.46,Ship,false
12-8356875,412,71.89,47.19,Plane,true
58-0882102,18,92.07,80.96,Ship,false
90-8716812,743,55.28,33.98,Track,true
20-0784918,980,95.85,2.76,Plane,true
53-9312981,103,10.53,94.97,Plane,false
02-4950832,152,57.03,65.57,Track,true
19-2170698,403,32.7,82.34,Track,true
36-5747251,98,11.58,69.96,Plane,true
42-6907378,509,29.74,41.51,Track,false
33-0375487,121,76.02,35.9,Ship,true
05-8445679,421,10.14,99.94,Track,false
22-3148518,195,22.03,2.16,Ship,false
76-9518300,367,72.35,20.7,Ship,true
46-9977263,178,79.29,22.28,Track,false
82-1640425,13,79.78,60.91,Track,true
87-6104835,751,49.87,72.44,Ship,true
27-6305236,341,82.91,70.12,Ship,false
94-4649372,836,6.9,78.79,Track,true
79-8410772,453,1.27,78.77,Track,false
23-4343630,498,88.67,0.46,Ship,false
29-5047292,559,78.14,95.02,Ship,false
26-5603867,85,30.14,93.03,Plane,true
09-8785857,604,36.68,52.54,Track,true
63-6381178,798,10.12,88.4,Track,true
99-2392593,173,61.71,62.54,Plane,false
50-7459462,942,32.97,15.06,Plane,true
20-0615677,758,64.77,43.13,Track,true
68-4446052,354,47.26,33.76,Track,true
40-9404249,358,91.19,92.32,Ship,false
94-5286182,438,34.98,96.12,Track,true
80-3598838,290,53.1,82.19,Track,false
81-4311143,474,82.45,22.11,Ship,true
45-9960122,71,97.96,50.25,Track,false
95-7720706,106,33.73,4.3,Ship,false
56-6520494,95,32.68,31.75,Track,false
56-2992028,464,59.64,68.86,Ship,true
36-5854262,298,93.39,64.52,Plane,false
74-5901579,90,21.53,34.05,Track,false
95-5371790,65,8.15,99.71,Ship,false
47-7137547,753,8.01,53.37,Plane,false
86-3566209,831,15.5,19.05,Ship,true
90-2173884,680,29.51,9.12,Track,false
76-6464315,730,87.17,37.32,Track,true
23-6203647,425,59.03,22.94,Plane,false
97-2813327,144,79.28,15.27,Plane,false
45-9887763,575,13.97,77.88,Track,false
83-1591464,981,76.03,41.85,Ship,true
88-6952831,611,8.78,71.44,Plane,true
95-6931051,778,46.49,58.24,Ship,false
54-6833950,693,92.88,41.88,Track,true
64-2116670,587,80.92,30.98,Track,true
43-7462159,332,96.67,14.54,Ship,false
69-4887477,95,46.18,4.73,Ship,false
90-6952858,452,21.89,86.96,Plane,true
07-1413126,743,44.59,80.33,Ship,true
